ident,anatomy,source,target,start,end,length,version
GUT_ATLAS_REG:18,distal anal canal,anus,ARJ,0,40,40,G2
RECTUM_PART_1,rectum,ARJ,APR,40,100,60,G2
RECTUM_PART_2,rectum,APR,RSJ,100,160,60,G2
GUT_ATLAS_REG:20,sigmoid colon,RSJ,DSJ,160,560,400,G2
GUT_ATLAS_REG:21,descending colon,DSJ,SF,560,810,250,G2
GUT_ATLAS_REG:22,modified transverse colon,SF,HF,810,1310,500,G2
GUT_ATLAS_REG:23_MOD,ascending colon (rewired),SF,CCJ,1310,1460,150,G2
GUT_ATLAS_REG:25A,caecum,CCJ,ICVc/ICVi,1460,1475,15,G2
GUT_ATLAS_REG:25B,caecum,ICVc/ICVi,AO,1475,1500,25,G2
GUT_ATLAS_REG:92,terminal ileum,ICVc/ICVi,ITIJ,1475,1575,100,G2
GUT_ATLAS_REG:26,ileum,ITIJ,JIJ,1575,3975,2400,G2
GUT_ATLAS_REG:108,jejunum,JIJ,DJJ,3975,5475,1500,G2
GUT_ATLAS_REG:109,duodenum,DJJ,GDJ/PIL,5475,5725,250,G2
